m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
552.292_7.9_4859,0,0,76058.439,77675.444,1642609.894,0,154348.011,10656.36,0,0,0,0,0,0,0
521.431_19.3_1694,0,52574.8675,46622.138,139410.2715,0,91529.484,73549.2095,0,59434.082,52324.309,7961.134,110307.189,325609.134,67928.436,938122.8595
746.604_18.1_2303,2227945.999,9746.1075,0,36198.3835,0,1249290.105,270919.593,28546.425,0,739812.67,1415793.93,3464853.226,328788.556,0,658622.403
374.363_17_595,296088.8305,462128.478,290944.315,506702.39,0,242228.0635,331040.033,254764.5065,369163.8885,495782.763,329052.623,246814.1305,348014.4195,231495.9685,71873.5485
545.493_20.9_5128,0,0,0,0,0,11092.302,0,0,0,0,0,0,0,0,0
1148.923_7.5_4179,0,0,0,0,0,0,0,520654.965,613781.682,0,703483.162,0,0,0,0
708.517_16.5_1677,0,995850.692,792644.372,194047.852,0,0,73185.185,819432.685,809854.8775,656822.025,928521.024,56538.0815,145452.5335,49027.069,120274.8425
783.467_16.3_4064,0,0,0,0,0,0,0,41949.7645,95394.225,35267.773,0,0,0,0,0
794.604_15.2_5883,0,0,545856.6895,0,633984.3825,0,0,2244879.785,0,0,0,349510.809,0,328472.2285,996929.595
638.326_5.7_5843,0,0,0,12330.7125,0,0,0,0,0,0,0,309290.394,0,341641.534,184447.974
381.316_16.6_3206,0,0,65908.9205,561184.8735,915745.0005,562758.434,857290.79,590055.469,622502.453,1000499.908,419363.642,129660.5375,51998.3715,106247.447,200043.216
600.409_14.8_1351,0,8439.291,690834.4995,419558.404,10877.79,628698.8635,355341.4,282967.4575,0,300424.2765,0,18219.675,7554.989,178424.837,350621.372
828.551_22.6_2148,0,633723.8125,71430.5085,43948.951,0,0,380512.017,0,352715.6345,958373.77,608439.8825,664627.425,250162.8785,27150.3495,0
303.231_14.4_2105,0,0,7125.57,77214.55,2444195.12,128449.548,22852.365,0,0,67139.1705,7117.9605,35654.476,0,31497.437,51337.9695
296.258_15.3_2680,0,0,0,0,6145.244,0,6461.6595,0,7472.1465,7571.8185,0,0,0,0,0
444.456_19.1_6285,0,2216235.989,0,0,0,0,0,434261.896,215844.735,535672.403,249285.811,0,0,0,0
333.206_11.3_5943,0,0,37023.82,0,82695.351,1180355.604,54216.188,221965.1115,0,180823.9295,0,0,0,90484.917,78281.28
752.558_16.9_4494,4241739.323,9689.7295,0,0,0,8184.276,0,0,0,0,495274.941,232886.5315,565739.329,0,0
606.241_15.5_1353,0,0,0,2917066.641,36253.953,441280.743,67295.046,0,0,0,0,0,0,0,0
305.16_5.2_5544,0,1292411.603,2042640.565,0,0,0,0,0,0,0,0,0,0,0,0
602.328_5.9_4341,0,0,0,0,0,0,0,389243.109,233071.0235,455825.9165,133955.923,0,0,0,0
447.383_21.3_4553,0,69251.2465,0,0,0,0,0,37437.6275,167460.431,296502.8845,78147.0995,0,0,0,0
636.585_8.6_4380,0,0,0,0,0,0,0,8705.895,0,104207.077,236190.553,0,0,0,0
772.618_20_4670,175701.658,0,0,0,0,134144.066,0,11716.43,0,187927.174,29270.948,0,0,0,212976.637
1201.782_8.9_4157,0,0,0,0,0,0,0,3112621.852,2985444.209,0,1865367.392,0,0,0,0
468.339_12.4_5694,0,0,284936.8795,0,31065.293,12103.6125,0,0,30695.4445,131166.273,73078.1975,137655.529,0,75495.6495,336444.44
698.591_19.8_1367,0,230910.9675,20645.892,1035433.8,0,0,346523.902,13074.832,54239.558,98177.2345,0,132443.315,0,0,0
408.662_6.1_1291,0,455543.48,307557.3645,538230.1535,6070.2585,83923.7065,369830.9545,819059.491,173679.3785,616717.237,395809.0915,617572.665,91143.688,137601.132,206747.426
331.284_12.4_924,0,172354.1425,772395.7775,0,1097634.316,11718.036,178034.5625,357899.18,7184.099,870865.535,787844.1015,579143.988,48310.629,904693.415,275581.0475
640.55_20.7_2374,0,27179.1005,37666.8695,0,100679.0045,0,0,0,0,0,0,0,14009.436,0,2165202.767
300.143_12.1_3264,137215.946,8608.808,47873.3365,0,215117.544,0,0,39948.392,234375.8765,11315.412,13530.8525,73236.553,9980.854,68360.697,0
774.529_18.8_4261,0,0,0,0,0,0,0,302368.3875,725511.433,296341.1275,372554.2565,0,0,0,0
796.618_17.8_4809,1.88E+07,173991.144,31019.5485,0,0,1.03E+07,1241402.602,0,0,4945096.477,4656364.354,1855159.999,2954070.777,13290.816,1190589.316
383.33_16.7_2025,0,66490.189,0,0,0,156726.78,0,25547.742,14248.1875,13671.565,62773.778,24868.653,11354.9225,0,262590.337
708.511_23.6_2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389.727_24.1_3124,0,7043.13,0,0,0,0,0,0,393509.531,166833.6275,8262.696,0,68166.839,0,0
416.373_17_562,661291.3345,1712695.861,1155327.009,2768752.005,126831.1285,757488.988,1102695.848,1276803.578,1444636.907,1726154.748,1463646.978,663458.809,825636.8295,825003.7145,237455.4925
564.194_13.6_4567,0,133652.215,829751.2485,1.70E+07,5666095.906,8682443.359,4058281.905,2658445.38,0,112406.181,59318.572,61369.356,493705.5365,811799.0435,90698.607
750.567_19.4_3586,0,719990.821,228585.734,213018.8815,0,0,446907.733,0,125993.7585,136330.036,0,225270.483,138927.3685,0,0
784.601_20.1_4921,0,0,0,0,0,0,0,0,0,0,0,209658.7905,0,0,0
812.616_22.1_4933,0,84526.433,111169.7625,80928.7285,1224940.081,0,121153.2045,22026.565,107378.6105,414273.6175,0,0,0,41805.041,0
524.737_7.6_5641,0,139854.2655,255696.646,0,0,0,0,0,0,0,0,0,0,0,0
454.292_12.5_4628,7325.006,218311.514,13084.07,0,2647545.287,955735.8405,1302847.268,1648643.971,0,1214064.607,43870.586,2577376.248,603824.0035,2297502.542,941049.6415
538.352_12.3_6009,0,0,9223.501,0,0,153905.779,0,0,0,0,0,0,0,0,531613.84
552.497_22.8_6105,0,0,0,0,0,123510.088,0,0,0,0,0,0,0,0,26973.4085
444.242_5.4_1330,0,0,0,660718.209,8390.588,69627.4405,126630.7225,0,0,0,0,0,0,0,0
325.237_9.6_5723,0,20744.708,0,0,10017.705,0,0,0,0,0,0,0,0,348603.388,0
423.235_8.6_6013,0,0,0,0,0,1039433.195,0,0,0,0,0,0,6900.857,56272.98,613901.0465
544.305_12.1_5985,16060.896,0,0,0,0,23734.001,0,0,0,0,0,0,0,235155.7245,207511.328
301.216_10.8_3485,0,12168.51,91483.7935,0,296927.5315,954241.703,4716372.974,248135.296,0,150484.4005,681583.9815,93784.6445,0,246971.971,73880.165
502.409_15_3706,0,0,781830.491,292558.984,72291.4065,0,90824.1075,68426.2005,0,61154.69,0,60456.393,0,1328370.019,672983.0925
741.613_20.3_5051,0,0,0,0,0,0,0,0,0,0,0,10186.673,0,7005666.481,0
741.614_20_3794,0,0,360590.281,0,413217.3635,0,47384.977,0,0,0,17695.668,384685.731,0,0,0
605.423_14.1_1631,0,1028707.476,60235.5185,179150.3825,0,19902.972,68304.4775,631501.689,755991.079,239866.4155,658442.401,64848.4115,64127.2695,756758.0925,0
305.211_13_2057,0,198831.763,199234.624,0,660264.2675,137633.2895,118453.425,119309.0985,99384.92,243980.1855,53500.781,65337.402,543948.113,677862.4735,903216.458
228.207_7.8_5816,0,0,0,0,0,0,0,0,0,0,0,1.40E+07,0,1.13E+07,0
393.315_17.4_2987,0,461091.88,9664.032,534499.3955,103092.8655,243256.552,652495.367,819441.7335,1012529.248,605821.957,1982112.099,299065.428,183574.9105,67208.077,0
301.216_13.4_3398,0,0,190285.245,1154953.659,311810.559,533657.439,579839.1875,199395.59,8217.014,457845.3325,157544.5595,213077.0685,0,322045.312,53023.506
397.315_15.1_4531,0,102395.44,43475.925,0,0,0,33342.192,879882.78,1073139.24,0,0,23623.0065,0,13479.885,11574.497
283.154_8.8_1714,0,50617.9415,1322246.725,484443.719,25597.017,834937.268,718030.4335,543066.7285,541763.557,1309202.976,129938.353,346828.0855,577593.2295,501885.1915,3299347.994
417.225_11.2_6227,0,0,0,0,8222.344,322034.1685,0,0,0,0,0,0,0,1006201.837,20756.43
738.623_20_5965,0,0,191015.2495,94922.009,2200627.525,61252.822,0,16587.565,0,0,0,6382720.132,0,437022.26,7348551.356
548.371_13.5_1498,0,289439.7655,184252.8955,369243.3225,17569.6,77239.855,0,404956.5465,87839.8195,1006305.432,254507.0015,0,15940.125,197415.2225,0
604.404_13.9_2202,0,0,144241.3575,22901.301,0,792108.535,0,76349.382,0,0,0,0,0,0,1158522.263
512.394_13.6_4373,0,3025199.861,40941.307,36331.5175,5323626.732,0,0,97559.078,0,23168.376,312854.276,373102.791,185631.527,53084.603,0
497.397_21.6_5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.394_13.8_1129,36588.42,2821293.062,1.00E+07,6127522.561,2662394.928,871492.192,2513837.836,5865998.316,0,7918324.018,9048013.062,1.72E+07,5550515.896,2.20E+07,6377950.437
337.237_12_3208,0,159588.858,192227.328,0,20605.359,3212527.402,0,222751.329,7605.1745,0,647541.2095,170219.9635,9933.87,45138.964,369877.4275
662.605_17.1_672,238659.471,225593.7885,135107.454,159495.158,0,128248.0755,164885.4815,128557.353,451317.3915,413791.392,269062.773,84486.5375,177779.847,132822.8215,0
321.875_6_5606,0,503934.3255,486740.954,0,0,0,0,0,0,0,0,0,0,0,0
219.174_13.5_2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624.388_14.2_5428,0,0,64531.0805,0,0,11477.696,0,0,43109.9665,10904.6675,0,0,0,24906.359,730861.354
626.439_14.5_6153,0,0,289201.9835,0,0,83686.6705,0,0,0,0,0,0,0,0,0
756.553_22.3_1598,0,5545478.192,2908943.441,674056.0065,234913.126,0,2690631.064,4272426.88,2.36E+07,2212158.527,6711607.626,2914926.041,2404942.779,1261063.9,330575.1
728.582_20.1_1226,0,1640267.464,0,1575527.308,9126.936,0,1213704.48,0,0,0,0,800172.1835,591276.468,13756.5065,0
500.277_11.6_2692,443852.3295,2.54E+07,2173400.284,0,6807718.685,663583.6605,4.29E+07,1.98E+07,1.26E+07,1.15E+07,1.61E+07,7292789.28,1.84E+07,8456098.403,1899312.683
478.353_13.4_4111,0,0,0,0,0,0,0,2645177.62,204531.2765,852823.047,3845478.438,0,0,0,0
551.249_11.1_2819,0,993659.029,42970.617,0,0,8778.861,8638.85,353823.632,7587.258,246193.226,687175.3415,464126.5935,372189.8205,475197.239,96690.528
220.112_24.8_5936,33134.53,89945.6585,169098.5075,102276.329,24460.587,0,7311.841,112559.244,0,29461.914,171959.6335,153796.873,6622.148,0,6790.848
288.217_7.4_2398,104585.442,2269390.991,3114514.622,0,0,481956.5635,7828.404,530190.0645,420333.7525,1451020.004,0,272818.2205,0,0,222328.4635
364.305_16.8_2090,0,0,155787.291,87273.0225,100868.3465,11594.025,18132.009,0,0,19801.6685,118977.7125,438237.062,753376.1175,8770.001,15955.871
766.574_22.9_1895,0,537717.967,0,284324.352,6254728.66,0,297321.814,2494576.144,665979.8945,1.43E+07,1469275.066,19231.15,315610.636,0,0
796.617_17.4_4812,3137664.463,80435.734,40937.514,0,217067.188,1.03E+07,1241402.602,0,0,4945096.477,1689985.784,1320769.301,757851.457,35508.1395,890021.5445
583.413_15.3_3870,0,548362.08,0,0,0,0,0,216545.117,0,18266.539,339502.655,357524.3365,0,0,0
604.405_14.9_6015,0,0,516289.425,0,0,1028595.767,0,20630.1845,0,0,0,0,0,60151.711,664973.4515
1160.711_8_2799,0,0,0,0,0,0,0,0,0,0,0,0,236038.4455,0,0
395.331_17.8_613,338682.936,4577504.613,631187.182,5880388.302,400512.7115,3596200.423,8390027.021,6556332.826,8874450.855,1.09E+07,8655506.173,3046033.277,3033979.968,1580810.231,1615135.926
366.192_17.4_2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389.32_15.9_3880,0,430262.3385,132132.8445,276231.78,0,8416.316,16942.316,559214.967,201230.53,614864.411,253760.661,94376.504,21981.3535,139032.6285,41426.319
901.53_15.3_4872,0,0,810807.913,0,882016.8715,0,0,0,0,0,0,0,0,0,0
538.373_11.4_5915,0,0,196945.973,0,20266.9235,0,25254.496,0,0,66908.7155,0,12253.087,0,636687.3615,0
482.324_13.9_578,480111.19,3220962.736,3113032.499,3.20E+07,23676.479,1.26E+07,1.60E+07,9107895.514,5419135.542,6430108.976,7246312.286,1.14E+07,6259204.618,6990784.676,5333668.37
738.623_21.7_4624,0,0,0,0,0,761247.05,0,0,0,0,0,562174.774,0,0,754848.6845
512.467_19.3_5342,0,632432.58,81631.282,14318.7255,0,0,299605.8605,325297.1125,332199.1555,467539.777,0,202864.727,0,0,0
726.623_20.1_3626,0,516794.9435,143953.9495,250026.628,49918.909,0,212866.016,0,0,0,0,0,0,0,0
500.741_7_6273,0,419245.266,171614.96,178487.1425,0,0,486400.775,138744.5815,31674.209,223296.685,180629.469,0,0,0,0
712.234_20.4_2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437.201_16.7_2079,0,0,0,47713.649,0,0,0,171792.368,30394.8395,356271.4355,0,0,0,0,0
367.299_16.4_1539,0,212419.3115,7735.3185,242363.293,0,70176.834,293045.52,398720.625,402887.403,633430.7145,574910.4865,37859.043,0,0,0
570.544_8.6_4131,0,0,0,0,0,0,0,124610.6505,74326.9415,1178531.355,2286038.46,0,0,0,0
684.539_19.1_2233,0,619823.0795,156673.769,0,193474.6375,20394.201,313173.864,0,0,0,0,0,0,0,0
588.362_14.9_5963,0,0,938278.264,0,0,326980.7385,0,0,0,11851.8555,0,0,0,255798.9595,1270402.944
481.171_10_6302,0,0,0,0,0,9039.612,0,194320.6635,0,459410.553,0,0,0,0,0
786.515_18.4_1730,0,467246.1195,124003.591,238102.338,0,0,181681.3915,196753.7175,620552.929,376769.884,356695.681,83770.771,86110.2755,99839.9815,0
481.182_6.4_1749,0,172254.929,79614.322,78833.059,0,13977.306,104352.0065,364285.347,250490.154,191864.1345,335410.9625,140966.1935,44515.305,26275.216,32075.146
377.231_12.7_5935,0,0,0,0,476551.8675,124666.7005,0,0,0,0,0,39615.859,21952.048,197999.207,72567.1715
452.277_12.4_812,10928.43,194550.988,703645.31,0,876017.3355,3389359.91,2690144.14,4516854.349,3614193.378,1705938.753,1540803.14,4120189.554,422987.96,434701.391,3081229.765
349.236_13.3_3388,0,0,202718.052,0,0,171070.169,8457.9,0,41000.1145,28475.8145,39046.2465,0,0,388005.622,0
417.787_24.1_6164,0,0,350669.4145,0,0,0,0,283758.8505,0,0,0,0,0,118676.4175,15007.3325
1524.587_6.8_5423,0,0,0,0,0,0,0,306584.2355,45230.3105,0,68985.602,0,0,0,0
307.226_12.5_2556,0,0,0,0,42405.2665,0,0,51212.9725,0,0,8729.778,23077.907,0,0,0
732.579_20.5_3568,0,1725312.286,587271.458,461161.186,520602.3215,0,421228.3245,1971011.1,437070.061,1225915.641,1494722.947,3126648.969,70326.6575,3201733.925,0
369.237_24.2_2412,0,140533.4625,73729.6645,0,0,0,16536.9995,8050.4,219717.9945,123383.382,141891.6015,76364.443,0,6816.321,50983.73
315.17_5.8_4156,0,0,0,0,0,0,0,707894.942,1311889.828,1498055.063,1901043.993,0,0,0,0
513.278_12.2_3013,0,1074081.797,57521.547,0,9875.472,0,61409.4205,210739.193,52415.918,111540.0975,212882.8515,57936.095,190846.7575,47360.385,0
351.252_13.5_2513,0,69879.3255,9729.28,121133.7655,0,27792.277,0,476054.7845,38639.061,227449.522,369278.0145,125330.1345,7988.0405,0,0
682.597_20.5_5394,0,0,0,0,0,0,0,0,481525.967,168815.314,246713.105,0,0,0,0
344.316_14.3_1595,8742.915,1025198.66,300522.4565,1037847.805,0,87861.9235,494010.3855,286763.1975,0,323498.3805,1127429.233,608157.7065,700503.5375,4022521.111,53057.076
838.563_18.3_1992,0,0,13072.475,202393.1865,32074.779,0,0,38012.676,790725.2235,142869.1845,0,10738.75,215626.3665,12549.576,84673.699
788.633_23.2_4365,0,0,42561.998,0,0,0,0,667551.2825,0,18896.57,515326.228,110487.042,0,0,0
397.312_16.4_5013,18830.995,356642.4475,24366.1225,1222002.851,0,118591.4975,938156.485,772235.609,910726.2145,727800.2695,708975.4165,0,10390.017,10278.834,33971.7575
574.395_14.2_1374,0,216276.2655,2714038.402,1754224.668,652411.879,2017858.923,174890.415,4037869.22,3398209.437,4074316.804,618095.03,428262.5765,17087.297,1130499.338,5272979.931
512.395_13.6_1982,0,1781819.865,240710.4945,16432.7505,5443809.983,0,0,0,0,54844.022,192786.0305,373102.791,284156.585,133273.374,0
790.574_20.7_3057,0,203935.705,195458.0315,0,0,0,0,9593.807,164131.2075,1255932.357,375312.6575,0,128261.2175,0,0
640.551_21.6_5807,0,0,0,0,0,5739459.487,0,0,0,0,0,0,0,0,0
693.015_7.5_4134,0,0,0,0,0,0,0,0,8325.665,628967.0545,802002.047,0,0,0,0
770.602_20.1_5248,0,0,1110826.535,0,552395.8455,0,0,1371118.936,0,0,0,49568.021,0,3441159.391,2191842.209
589.483_19.1_5284,0,20612.211,0,0,0,0,0,0,0,0,0,0,0,75867.953,0
722.556_20_1484,0,1730225.103,199936.678,250167.4425,28219.953,0,135426.447,0,0,0,0,109427.611,164495.4365,854367.205,0
684.54_19.3_1381,0,18295.8695,41729.2595,920646.255,8540.19,63948.791,115906.455,0,0,0,0,0,0,0,0
660.007_7.6_2262,0,0,0,0,0,0,103438.5945,175931.336,0,9922.485,124936.624,51884.6235,0,0,0
371.255_14.1_1681,0,0,0,563207.421,205278.815,8781.331,671478.0425,110491.4055,16829.614,9531.475,0,0,0,8193.711,0
786.622_23.4_2078,0,197874.324,0,0,0,0,284613.295,0,13943.664,25830.7085,0,520261.5075,0,216847.568,143086.1735
720.613_23.3_5836,0,0,587984.905,13223.279,0,0,0,5013755.361,0,2076215.179,7082054.247,1538494.261,0,1936355.812,0
480.309_12.8_862,18964.0295,991475.3955,454248.4405,1195148.996,3185145.566,36374.7125,1707844.768,1480568.43,1211077.011,1794983.296,1239757.164,765062.2305,424497.814,1785711.56,435660.0955
510.242_8.2_5725,0,0,0,26539.0425,0,15404.01,14639.184,337869.666,31569.8975,43277.189,153784.053,32812.2885,13797.4065,19344.636,104503.4195
870.57_17.6_2938,0,1204810.314,1233404.826,0,0,0,109958.1025,30839.132,964769.291,0,0,329431.358,151155.0165,0,0
654.53_19.3_2265,0,24045.507,86840.263,9673.0905,63948.7935,0,155199.8215,0,0,0,0,141780.567,0,464565.2245,22800.5175
638.535_20.2_719,340295.723,0,0,5570244.945,1345361.468,423376.0265,0,0,0,0,0,8738.976,1073076.741,1260392.765,0
798.602_23.8_4175,0,386630.8435,0,12323.505,0,0,0,1092295.511,0,1386950.767,1180191.607,0,0,0,0
344.352_16.4_4793,331314.351,3.38E+07,2.90E+07,1.33E+07,8358409.844,4283990.991,8405343.849,1.38E+07,1965520.004,1598729.035,5709930.333,3.74E+07,2.03E+07,1100779.008,3570874.207
313.148_6.5_1763,0,0,0,523019.1515,0,0,224153.457,0,0,0,0,0,0,0,0
144.081_3.4_5682,0,452926.849,1412588.362,0,0,0,0,6157.449,0,0,0,0,0,0,0
518.493_20.2_4740,0,0,8174.8295,64390.985,0,17460.194,85457.144,0,308404.2425,16501.819,0,30502.495,54635.17,110077.16,34749.8325
804.536_16.7_2240,0,0,0,0,298126.014,0,0,0,0,11727.771,0,0,0,0,20929.559
710.593_23.5_1309,0,1051607.416,3068225.948,1615307.233,62070.6875,0,649507.055,0,0,1000419.394,0,1542745.61,9564.0375,360869.045,1982494.678
653.297_18.8_3031,7342.296,47703.5155,162142.6015,0,0,0,120385.4245,8186.42,0,24433.8045,36653.22,234475.893,61022.356,231336.2025,0
713.665_16.9_555,551598.926,2640956.764,1096081.342,4895263.792,0,848878.42,2068062.157,1881576.534,1772752.453,2890997.141,2062703.804,705386.999,1044658.683,1133932.833,108012.1225
443.272_23.9_2077,0,123397.0035,7780.758,104652.428,0,0,156862.818,0,122989.383,0,0,0,0,0,0
856.559_15.8_4177,0,265361.807,0,0,21526.2805,0,0,594139.412,420700.492,230974.9285,623025.2275,66267.0985,0,0,0
334.248_13.3_5810,0,0,1819315.264,0,0,102730.226,0,0,0,0,0,38232.803,7690.905,11277.688,0
358.367_17.1_2826,10651.5325,0,1833049.477,279764.3485,1212188.494,294006.1405,1228083.329,155251.4325,47029.9865,78826.267,69639.6385,581947.1255,848088.4925,0,0
365.268_11.7_3222,0,25788.6765,0,0,0,511563.8455,893833.8705,216306.273,7815.4265,200406.7015,351057.8045,303291.8575,20756.271,0,0
249.112_10.8_2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390.298_13.8_2196,0,88980.8225,17122.948,0,0,0,0,22336.032,44917.424,32775.624,653109.523,34578.1315,372053.9495,0,0
367.336_20.7_1528,0,132667.088,48856.572,517856.9625,0,90503.65,188180.208,416314.0465,462494.517,223435.654,367707.9735,23640.621,0,24527.4765,19678.0605
822.564_18.3_1253,0,625031.419,266430.682,3752396.037,255198.353,0,2213099.094,945661.855,1421386.59,1667968.045,266322.501,172531.6915,1273996.616,869478.856,239645.0745
498.322_6.3_2116,0,0,0,0,0,0,51407.9535,0,0,0,0,74474.536,0,0,10782.85
504.307_12.6_2713,99344.1365,2597085.28,472359.994,0,1555579.085,58651.864,3210821.351,2822635.622,3366441.959,2048050.182,4344718.159,1063184.261,1335525.113,618830.047,42685.3595
318.128_16.9_4093,0,5301.45,0,0,0,0,44781.1875,0,0,0,0,0,22805.716,31789.577,0
510.452_19.3_6128,0,0,0,2627805.241,163727.0335,0,44547.099,0,0,0,0,0,32150.5085,392635.2475,0
396.219_7_5668,0,231196.6515,254191.6455,0,0,0,0,0,0,0,0,0,0,0,0
773.52_18_1861,0,255353.161,183153.068,129439.2985,0,0,167979.1875,118133.646,488291.1095,0,424200.031,144809.317,0,30906.59,0
393.315_17.8_1672,0,183941.517,19308.612,369043.0695,0,146610.8655,503557.3415,622066.3075,410534.246,719840.028,881971.456,102131.183,110048.5915,8802.002,0
629.348_13.5_1813,0,415692.1005,105537.6875,251320.0425,0,0,335411.4675,399248.715,450500.7465,649473.275,338723.748,194773.798,1037589.801,27955.448,0
322.274_16_5127,0,0,0,0,0,0,21997.0535,0,0,0,0,16984.28,0,0,0
400.414_19.4_904,91574.057,0,382864.7485,1425619.094,1142014.381,0,1048796.931,0,69619.943,7866.4335,0,585411.657,1387805.655,18995.7835,0
411.326_17.2_937,0,493516.632,0,1814312.843,229789.998,669258.147,1153755.824,1739766.283,544061.9255,878532.575,647035.131,535244.068,260953.8025,453826.972,191312.9195
452.739_5.2_4198,0,0,0,0,0,0,0,1180483.497,81813.0725,177360.276,0,0,0,0,0
481.293_15.8_3616,0,34214.8995,325913.574,218620.742,42646.1835,112856.764,163370.7835,576238.8855,1076672.677,1330503.867,152998.0655,8504.3905,0,0,39122.7315
585.451_19.4_1798,0,114770.979,51853.1795,96406.899,0,0,22867.0635,0,26947.9315,130583.361,33933.9595,307181.38,53078.368,361841.3565,0
441.337_17.7_2791,8435.3305,192908.794,0,10140.228,0,0,18789.732,26179.461,50994.944,271700.63,23355.7445,759007.373,881638.8595,0,11455.742
305.318_18.6_6236,0,0,0,193344.662,149412.52,0,0,0,0,82416.794,0,0,0,833828.296,16483.541
560.334_10.6_3527,0,60650.552,22328.2825,0,2439478.159,27780.2015,1932952.859,258401.232,0,415348.5095,0,9019.353,17488.6095,147759.7695,46209.979
774.587_20.4_4020,0,72591.992,0,1.49E+07,2429529.192,0,856100.5865,0,0,0,0,1027571.411,4395347.147,1460939.573,0
393.315_15.6_1417,0,32253.545,583510.402,713912.4905,0,329750.3075,387885.9135,213658.7795,161981.361,439510.341,39709.0435,0,10484.1325,87083.3485,8119.691
669.765_6.7_4119,0,0,0,0,0,0,0,262349.0795,33409.9905,407901.1215,1141519.322,0,0,0,0
425.341_17.7_934,0,8389301.463,626827.2315,7459991.595,0,1886492.538,6067363.474,1360913.793,1.02E+07,1618720.837,4915197.286,1100376.162,983667.4245,1180345.672,879471.593
451.319_11.2_2829,0,88533.288,71049.4225,0,0,15247.528,15174.31,0,0,0,43717.012,207902.4005,175367.088,145691.295,76397.6995
782.567_23.1_2096,0,29427.795,0,79621.0435,2214007.532,0,8780.31,5374960.247,22118.196,2.17E+07,6313670.206,2817550.829,0,0,0
397.31_15.2_3862,0,0,662118.0295,0,1156957.288,1614750.825,0,0,52617.234,90594.1145,19213.103,21727.1195,0,8829.596,78162.306
612.519_19.7_1152,156532.9355,274388.45,29625.584,4208780.009,1659462.944,0,2413939.446,0,0,0,0,4596034.458,1211849.356,1280060.5,0
784.629_22.9_3369,0,0,203485.718,337215.176,13820.3625,0,568647.3795,0,541987.1845,0,0,198905.2105,0,47338.939,77759.663
220.112_24.6_954,6809.6805,89945.6585,20196.65,0,15813.1105,0,0,317580.6155,0,29461.914,68757.0295,22282.824,0,0,6790.848
357.336_16.9_534,1.04E+07,2.73E+07,1.80E+07,4.01E+07,2298130.207,1.59E+07,2.18E+07,2.78E+07,1.98E+07,3.03E+07,2.55E+07,1.14E+07,1.30E+07,1.69E+07,4685143.063
443.352_18.6_704,0,1162112.305,8153.74,905571.35,0,114496.1375,1060551.311,301342.5265,361579.6165,343711.7725,355257.5455,297631.1705,358946.5325,125196.9205,37075.5605
359.257_11.5_3739,0,572050.4275,67632.447,0,814476.551,0,0,538624.1835,306360.393,283070.8755,507666.991,182182.1065,355935.027,88122.861,32483.1625
828.634_22.1_6259,0,0,0,0,0,0,0,3163947.081,0,0,7865774.654,55518.5605,0,0,0
468.308_11.5_3438,17614.517,1283173.264,420498.0005,0,0,4351230.51,3979003.574,1639567.665,59502.028,2237163.895,406068.102,2516651.814,43000.6265,1657053.549,3575274.576
422.326_12.8_2976,0,238960.489,0,0,11912.81,0,0,2109557.666,982659.221,1045072.575,1530529.977,418223.1935,103604.254,132924.453,38395.343
420.311_14.9_2533,0,0,0,0,0,0,0,14028.516,8518.52,13189.4,13028.6025,0,0,0,0
538.555_20.3_3652,0,1028489.754,292397.8385,444505.6625,57673.623,0,256409.593,0,149907.263,24587.5305,96897.8855,1067295.171,561272.2205,0,0
694.598_22.6_2069,0,402746.586,103326.061,0,93896.931,0,0,2019489.352,0,0,2136890.928,134203.6155,0,0,0
451.222_7.8_5620,0,377991.5885,793944.1825,0,0,0,0,0,0,0,0,0,0,0,0
832.59_17.1_4741,0,0,18277.74,0,86608.1765,0,0,26785.476,17890.197,24616.366,0,0,0,0,0
389.32_17.6_2344,0,833754.825,215766.4965,0,503913.6395,40506.36,431251.6135,420593.804,4476986.667,1096933.953,1051622.21,2479914.965,1422599.984,1522127.749,563053.847
522.319_11.2_3647,0,0,0,0,0,796790.4585,210062.2845,0,0,0,0,0,0,0,0
425.377_18.2_1220,33753.929,1497855.071,42603.674,1889869.986,0,267935.456,1641190.818,88920.006,112811.7135,322714.351,243043.7935,0,0,0,0
518.405_14.8_588,1013637.88,4068503.013,4034249.377,0,1843077.479,1.82E+07,3844955.159,2.28E+07,3018108.113,1.84E+07,4305277.281,2032471.972,2420646.73,1.27E+07,2.17E+07
814.559_16.8_785,91448.4305,0,922878.4675,1801732.883,334844.7975,449171.4075,195175.8175,1622018.121,1732584.827,1786483.977,372093.8065,10329.496,121230.2775,3486101.032,2669046.563
