m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
501.375_15.5_4640,0,84110.387,0,663137.152,176008.917,9861.261,100348.9395,20903.954,9128.88,128838.215,23040.198,81391.5365,75353.479,75086.1515,0
444.456_20.5_5961,0,0,0,0,0,790605.9675,0,0,0,0,0,0,110703.3565,780282.3465,3485957.398
416.337_12.4_3077,0,82472.7905,0,0,0,14336.784,229870.3495,105524.0735,29404.18,41031.992,10210.69,108519.137,97022.9595,75672.604,180932.127
768.588_19_874,0,1250105.267,1.56E+07,0,4252199.074,8073404.073,30239.462,5425424.654,11462.26,64924.843,35548.2965,1.10E+07,0,1.65E+07,1.98E+07
295.19_9.9_4792,0,0,160784.7735,0,1858620.794,1044235.667,372705.2575,1463909.95,525309.6155,98702.141,674135.3345,516389.6195,99677.404,0,208053.6295
808.585_18.7_2218,0,149095.2195,120716.769,0,1340612.274,0,265369.9755,0,749645.075,0,107858.232,138847.289,423241.3555,0,22177.875
476.373_14.4_1505,0,658524.8625,369692.304,775555.756,152139.1615,0,990079.785,1562735.545,999964.273,903178.951,1192408.102,575865.1185,69692.3,0,0
798.587_20.3_4042,0,79671.6905,0,113075.014,57269.92,0,47670.795,0,0,0,0,29988.6645,1655417.883,919947.091,49596.361
670.428_12.9_5990,0,0,36215.664,0,0,8533.491,0,18533.955,10136.7015,20819.4505,0,0,0,112649.218,283378.0085
544.383_14.9_5992,0,0,514241.6875,0,13481.9765,378600.003,11321.288,27006.06,58932.168,23009.8875,0,12664.128,0,60880.047,1074856.107
625.624_15.8_3331,0,660498.9425,102328.4905,269629.599,0,0,19148.993,1123549.059,294360.843,315663.1615,514517.518,717242.9625,17198.5025,69176.034,0
448.342_13.4_1394,0,1238210.756,71325.4725,425891.9965,26928.5445,30156.53,599567.672,1108588.016,449243.94,634022.4205,889553.0795,931957.5745,0,59904.8015,67057.7005
804.549_23.4_3892,0,0,190503.159,0,154402.8525,0,0,0,0,489745.9085,185071.133,53430.0895,0,0,0
348.274_13.2_3972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
